address1,address2,easting,northing,order_cost,ordered_date,result,speedLimit,urban_rural,length,PRIORITY,TARGET_DAYS_TO_REPAIR,MergedName,ydependent,UrbanRural,Date,temp,precip
ALLENBY GROVE,BEESTON,429435.8,429791.66,71.11,04/04/2023 00:00,FAIL,20,Urban,46,CAT2 carriageway,7,ALLENBY GROVEBEESTON,0,1,04-Apr-2023,6.2,0
ALLENBY PLACE,BEESTON,429282.4,429973.61,64.06,27/04/2022 00:00,PASS,20,Urban,100,CAT1 footway,1,ALLENBY PLACEBEESTON,1,1,27-Apr-2022,5.7,0
ALLENBY ROAD,BEESTON,429288.63,429993.17,71.11,04/09/2023 00:00,PASS,20,Urban,266,CAT2 carriageway,7,ALLENBY ROADBEESTON,1,1,04-Sep-2023,19.2,0
ALLENBY VIEW,BEESTON,429515.71,430085.78,71.11,04/04/2023 00:00,FAIL,30,Urban,59,CAT2 carriageway,7,ALLENBY VIEWBEESTON,0,1,04-Apr-2023,6.2,0
ALLERTON AVENUE,MOOR ALLERTON,430813.69,438819.87,71.11,28/03/2023 00:00,PASS,30,Urban,215,CAT3 footway,28,ALLERTON AVENUEMOOR ALLERTON,1,1,28-Mar-2023,5.7,3.803
ALLERTON GRANGE AVENUE,MOOR ALLERTON,431243.06,438239.09,64.06,06/12/2019 00:00,PASS,30,Urban,209,28 day carriageway,28,ALLERTON GRANGE AVENUEMOOR ALLERTON,1,1,06-Dec-2019,9.4,2.519
ALLERTON GRANGE CROFT,GLEDHOW,431186.29,437968.89,71.11,16/10/2023 00:00,PASS,30,Urban,108,CAT3 footway,28,ALLERTON GRANGE CROFTGLEDHOW,1,1,16-Oct-2023,5.7,0
ALLERTON GRANGE RISE,MOOR ALLERTON,0,0,64.06,05/12/2022 00:00,PASS,30,Urban,287,CAT2 carriageway,7,ALLERTON GRANGE RISEMOOR ALLERTON,1,1,05-Dec-2022,3.9,0.39
ALLERTON GRANGE VALE,MOOR ALLERTON,0,0,64.06,05/12/2022 00:00,PASS,30,Urban,115,CAT2 carriageway,7,ALLERTON GRANGE VALEMOOR ALLERTON,1,1,05-Dec-2022,3.9,0.39
ALLERTON GRANGE WAY,MOOR ALLERTON,431108.5,437913.08,71.11,16/01/2024 00:00,PASS,30,Urban,263,CAT3 carriageway,28,ALLERTON GRANGE WAYMOOR ALLERTON,1,1,16-Jan-2024,-0.2,0.851
ALLERTON GROVE,MOOR ALLERTON,430873.64,438709.33,64.06,20/09/2019 00:00,PASS,30,Urban,177,28 day carriageway,28,ALLERTON GROVEMOOR ALLERTON,1,1,20-Sep-2019,14.4,0.018
ALLERTON PARK,CHAPEL ALLERTON,0,0,71.11,02/05/2023 00:00,PASS,30,Urban,170,CAT3 carriageway,28,ALLERTON PARKCHAPEL ALLERTON,1,1,02-May-2023,9.2,0
ALLERTON PLACE,MOOR ALLERTON,0,0,64.06,01/03/2022 00:00,PASS,30,Urban,92,CAT2 carriageway,7,ALLERTON PLACEMOOR ALLERTON,1,1,01-Mar-2022,3.8,0.559
ALMA COTTAGES,HEADINGLEY,427845.4,436274.1,71.11,18/04/2023 00:00,PASS,20,Urban,85,CAT3 carriageway,28,ALMA COTTAGESHEADINGLEY,1,1,18-Apr-2023,7.9,0
ALMA ROAD,HEADINGLEY,0,0,71.11,22/02/2024 00:00,PASS,30,Urban,234,CAT2 carriageway,7,ALMA ROADHEADINGLEY,1,1,22-Feb-2024,5.1,11.143
ALMSHOUSE HILL,BRAMHAM,442583.27,442819.2,71.11,31/01/2024 00:00,PASS,30,Urban,75,CAT2 carriageway,7,ALMSHOUSE HILLBRAMHAM,1,1,31-Jan-2024,4.4,4.894
ALWOODLEY GARDENS,ALWOODLEY,429061.1,440213.33,71.11,19/02/2024 00:00,PASS,30,Urban,108,CAT3 carriageway,28,ALWOODLEY GARDENSALWOODLEY,1,1,19-Feb-2024,8.2,0.628
ALWOODLEY LANE,ALWOODLEY,0,0,71.11,22/01/2024 00:00,PASS,20,Urban,288,CAT2 carriageway,7,ALWOODLEY LANEALWOODLEY,1,1,22-Jan-2024,6.8,4.788
AMBERLEY GARDENS,UPPER WORTLEY,0,0,64.06,16/11/2022 00:00,PASS,30,Urban,40,CAT3 carriageway,28,AMBERLEY GARDENSUPPER WORTLEY,1,1,16-Nov-2022,6.7,1.3
AMBERLEY STREET,UPPER WORTLEY,427527.3,432743.33,64.06,25/04/2022 00:00,FAIL,20,Urban,83,CAT2 footway,7,AMBERLEY STREETUPPER WORTLEY,0,1,25-Apr-2022,6.5,0
AMBERTON APPROACH,GIPTON,0,0,64.06,04/08/2022 00:00,PASS,30,Urban,236,CAT3 carriageway,28,AMBERTON APPROACHGIPTON,1,1,04-Aug-2022,14.8,0
