datetime,temp,precip
2022-11-06,7.9,0.832
2022-11-07,10.7,0.149
2022-11-08,10,5.918
2022-11-09,9.1,1.712
2022-11-10,12.4,0.848
2022-11-11,13.7,0
2022-11-12,10.5,0
2022-11-13,9.4,0.175
2022-11-14,9.2,0.35
2022-11-15,8,19.051
2022-11-16,6.7,1.3
2022-11-17,8.2,27.552
2022-11-18,7.9,4.289
2022-11-19,6.5,2.706
2022-11-20,5.4,9.097
2022-11-21,3.3,9.061
2022-11-22,6.1,1.626
2022-11-23,5.5,11.827
2022-11-24,6.3,5.562
2022-11-25,7.8,1.968
2022-11-26,8.9,0.654
2022-11-27,8.7,2.744
2022-11-28,5.5,0.025
2022-11-29,2.6,0.425
2022-11-30,2.8,0.284
2022-12-01,4.5,0.03
2022-12-02,3.2,0.09
2022-12-03,3.5,0.379
2022-12-04,3.6,3.209
2022-12-05,3.9,0.39
2022-12-06,2.7,2.658
2022-12-07,0.1,0
2022-12-08,-0.6,0.061
2022-12-09,-0.7,0
2022-12-10,-0.3,0.205
2022-12-11,-1.6,0
2022-12-12,-3,0
2022-12-13,-2.2,0
2022-12-14,-3.1,0
2022-12-15,-2.3,0
2022-12-16,-1.3,0.014
2022-12-17,1.3,0.576
2022-12-18,0.2,1.41
2022-12-19,10.6,3.146
2022-12-20,6.5,0.691
2022-12-21,5.3,3.274
2022-12-22,4.8,0.803
2022-12-23,5,10.918
2022-12-24,6.9,1.72
2022-12-25,7.5,2.1
2022-12-26,3.1,5.703
2022-12-27,4.6,7.942
2022-12-28,6.9,6.384
2022-12-29,5.6,7.013
2022-12-30,7.2,1.072
2022-12-31,7.2,16.043
2023-01-01,6.4,15.865
2023-01-02,2.9,0.157
2023-01-03,5.5,6.163
2023-01-04,9.7,9.017
2023-01-05,8.7,4.223
2023-01-06,7,1.207
2023-01-07,9,12.426
2023-01-08,4.9,2.247
2023-01-09,5,3.313
2023-01-10,7.1,13.892
2023-01-11,5.9,2.226
2023-01-12,7.3,3.443
2023-01-13,5.8,3.642
2023-01-14,5.3,4.588
2023-01-15,3.3,1.227
2023-01-16,-0.4,0.077
2023-01-17,-1.7,0
2023-01-18,0.5,0.242
2023-01-19,0.3,0.091
2023-01-20,1.5,0.091
2023-01-21,-0.9,0.168
2023-01-22,0.9,0.032
2023-01-23,3.2,0.013
2023-01-24,5.2,0.019
2023-01-25,5.4,0.11
2023-01-26,4.2,0.038
2023-01-27,3.3,0.598
2023-01-28,3.7,0.091
2023-01-29,5.4,0.168
2023-01-30,5.5,0
2023-01-31,6.1,0.851
2023-02-01,6.4,4.607
2023-02-02,8,1.275
2023-02-03,8.7,0.696
2023-02-04,7.4,0.044
2023-02-05,2.7,0.007
2023-02-06,2.5,0
2023-02-07,4.5,0
2023-02-08,4.6,0
2023-02-09,4.3,0.088
2023-02-10,6,0
2023-02-11,7.3,0
2023-02-12,6.1,0
2023-02-13,3.8,0.007
2023-02-14,5.3,0.119
2023-02-15,6.3,0.365
2023-02-16,7.9,2.093
2023-02-17,9.5,1.663
2023-02-18,9.2,3.919
2023-02-19,6.8,0.3
2023-02-20,9.4,0.176
2023-02-21,8.1,0
2023-02-22,5.5,0.385
2023-02-23,3.8,0.336
2023-02-24,5.7,0.124
2023-02-25,2.7,0.137
2023-02-26,3.3,0.106
2023-02-27,4,1.511
2023-02-28,4.4,1.513
2023-03-01,4.3,3.342
2023-03-02,3.5,0.193
2023-03-03,3.6,0.088
2023-03-04,2.6,0
2023-03-05,2.6,0.015
2023-03-06,3.6,1.549
2023-03-07,0.3,0
2023-03-08,-1.5,0.014
2023-03-09,-0.5,2.501
2023-03-10,-0.3,2.978
2023-03-11,0.4,2.419
2023-03-12,7.1,9.573
2023-03-13,8.8,17.945
2023-03-14,1.5,2.927
2023-03-15,1.2,3.191
2023-03-16,8.9,1.414
2023-03-17,9.8,0.599
2023-03-18,9.3,3.895
2023-03-19,6.4,0.272
2023-03-20,9.3,1.314
2023-03-21,9.7,2.106
2023-03-22,9.5,2.473
2023-03-23,8.1,3.275
2023-03-24,8.3,2.524
2023-03-25,7,9.593
2023-03-26,4.3,0.439
2023-03-27,3.7,0
2023-03-28,5.7,3.803
2023-03-29,10.3,0.963
2023-03-30,10.2,7.747
2023-03-31,8,6.037
2023-04-01,5.8,0.184
2023-04-02,6,0.663
2023-04-03,4.4,0
2023-04-04,6.2,0
2023-04-05,7.5,5.643
2023-04-06,8.4,4.492
2023-04-07,6.9,0
2023-04-08,7.7,0
2023-04-09,7.9,0
2023-04-10,8.3,7.895
2023-04-11,7,8.754
2023-04-12,4.5,4.108
2023-04-13,5.9,5.965
2023-04-14,4.5,12.82
2023-04-15,7.3,0.309
2023-04-16,9.5,0
2023-04-17,10,0.221
2023-04-18,7.9,0
2023-04-19,7.8,0
2023-04-20,7.4,0
2023-04-21,7.5,2.402
2023-04-22,8.3,7.734
2023-04-23,7.7,0.683
2023-04-24,4.9,0.307
2023-04-25,4.2,0
2023-04-26,5.8,0
2023-04-27,6.8,0.427
2023-04-28,8.1,2.758
2023-04-29,10.2,0.166
2023-04-30,10.6,2.626
2023-05-01,10.6,1.067
2023-05-02,9.2,0
2023-05-03,8.8,0
2023-05-04,7.9,0.622
2023-05-05,11.3,5.61
2023-05-06,12.6,4.168
2023-05-07,14,3.307
2023-05-08,12.2,5.279
2023-05-09,13.2,0.369
2023-05-10,10.7,1.466
2023-05-11,10.9,4.933
2023-05-12,9.1,0.012
2023-05-13,9.7,0
2023-05-14,11.8,0.308
2023-05-15,9.2,0.019
2023-05-16,9.9,0.225
2023-05-17,11.2,0.012
2023-05-18,12.7,0
2023-05-19,12,0.376
2023-05-20,11.7,0.085
2023-05-21,12.8,0
2023-05-22,12.8,0
2023-05-23,12.4,0
2023-05-24,13.1,0
2023-05-25,13.9,0
2023-05-26,14.4,0
2023-05-27,14.9,0
2023-05-28,12.1,0
2023-05-29,11,0
2023-05-30,10.6,0
2023-05-31,10.7,3.348
2023-06-01,10.3,0
2023-06-02,11.7,0
2023-06-03,11.8,0
2023-06-04,11.5,0
2023-06-05,12.3,0
2023-06-06,10.6,0
2023-06-07,10.8,0
2023-06-08,10.9,0
2023-06-09,12.5,0
2023-06-10,16.2,0
2023-06-11,18.3,0
2023-06-12,20.6,0.433
2023-06-13,19.7,0
2023-06-14,17,0
2023-06-15,17.4,0
2023-06-16,18.7,0
2023-06-17,16.6,0.601
2023-06-18,16.1,20.503
2023-06-19,17.4,2.606
2023-06-20,15.5,10.168
2023-06-21,17.8,0.199
2023-06-22,17.7,0
2023-06-23,16.8,0.047
2023-06-24,20.4,0
2023-06-25,19.8,2.793
2023-06-26,15.1,0.34
2023-06-27,14.7,0.652
2023-06-28,17.3,1.013
2023-06-29,14.1,0.07
2023-06-30,13.8,1.413
2023-07-01,14.4,0.718
2023-07-02,13,0.072
2023-07-03,11.8,1.773
2023-07-04,13.4,0.092
2023-07-05,13,0.177
2023-07-06,15.3,0
2023-07-07,19.4,0
2023-07-08,18.6,5.986
2023-07-09,17,4.521
2023-07-10,15.2,1.865
2023-07-11,15.4,1.424
2023-07-12,14.1,2.859
2023-07-13,15.2,0.256
2023-07-14,13.8,9.278
2023-07-15,15.1,6.77
2023-07-16,14.3,9.027
2023-07-17,13.6,7.784
2023-07-18,13.1,4.481
2023-07-19,14.4,3.099
2023-07-20,13.8,0
2023-07-21,12.7,1.985
2023-07-22,13.8,9.261
2023-07-23,14.2,47.29
2023-07-24,12.8,7.199
2023-07-25,12.8,0.337
2023-07-26,14.6,3.304
2023-07-27,16.5,3.648
2023-07-28,16.7,0
2023-07-29,15.8,0.054
2023-07-30,14.3,3.518
2023-07-31,15,2.914
2023-08-01,14.5,0.889
2023-08-02,13.5,13.757
2023-08-03,14.8,2.202
2023-08-04,13.9,7.22
2023-08-05,11.7,4.849
2023-08-06,12.5,0.035
2023-08-07,13.3,0.012
2023-08-08,13.8,0.018
2023-08-09,15.4,0
2023-08-10,20.9,0
2023-08-11,19,0.04
2023-08-12,16.3,3.088
2023-08-13,15.4,0.444
2023-08-14,15.2,15.066
2023-08-15,15.6,0.62
2023-08-16,15.7,0.012
2023-08-17,15.6,0
2023-08-18,14.8,2.237
2023-08-19,17.9,6.682
2023-08-20,16.9,0.028
2023-08-21,16.5,0.128
2023-08-22,16.6,0.042
2023-08-23,15.9,1.139
2023-08-24,15.2,0.424
2023-08-25,12.7,1.365
2023-08-26,12.4,2.744
2023-08-27,12.4,3.967
2023-08-28,13.1,0.099
2023-08-29,13.8,0.233
2023-08-30,12.5,0.078
2023-08-31,13.1,0.184
2023-09-01,14,1.144
2023-09-02,16.2,0
2023-09-03,17.3,0
2023-09-04,19.2,0
2023-09-05,18.3,0
2023-09-06,18.9,0
2023-09-07,20.2,0.007
2023-09-08,19.8,0
2023-09-09,21.6,1.306
2023-09-10,19.6,3.815
2023-09-11,17.6,0.975
2023-09-12,12.9,22.733
2023-09-13,12.1,0.007
2023-09-14,14.7,0.374
2023-09-15,14.4,2.7
2023-09-16,12.9,0.174
2023-09-17,14.7,5.166
2023-09-18,13.6,12.83
2023-09-19,13.8,10.479
2023-09-20,15.1,9.163
2023-09-21,11.4,0.062
2023-09-22,10.5,2.003
2023-09-23,11.2,0.33
2023-09-24,15.3,0.781
2023-09-25,15,0.372
2023-09-26,13.1,0.56
2023-09-27,13.4,3.31
2023-09-28,13.8,0.659
2023-09-29,13.1,0.454
2023-09-30,11.6,7.941
2023-10-01,15.9,7.136
2023-10-02,12.3,6.021
2023-10-03,11.3,4.202
2023-10-04,12.5,0.753
2023-10-05,13.2,1.808
2023-10-06,16.1,9.467
2023-10-07,16.2,0.007
2023-10-08,15.2,0.032
2023-10-09,15.9,0.014
2023-10-10,16.2,0
2023-10-11,12,5.573
2023-10-12,7.8,0.092
2023-10-13,10.3,11.135
2023-10-14,6.8,0.682
2023-10-15,5,0
2023-10-16,5.7,0
2023-10-17,7.2,0.037
2023-10-18,10.5,2.074
2023-10-19,13.1,19.942
2023-10-20,10.5,53.426
2023-10-21,7.9,2.215
2023-10-22,7.4,0.111
2023-10-23,7.4,0.163
2023-10-24,9.1,12.203
2023-10-25,7.8,0.207
2023-10-26,8.3,4.562
2023-10-27,8.4,0.798
2023-10-28,8.3,7.439
2023-10-29,9.7,5.653
2023-10-30,7.5,11.096
2023-10-31,6.7,10.52
2023-11-01,8.8,7.242
2023-11-02,8.1,16.747
2023-11-03,8.4,0.614
2023-11-04,6.2,5.183
2023-11-05,7.4,0.465
2023-11-06,7.3,5.657
2023-11-07,7.8,2.529
2023-11-08,7,2.723
2023-11-09,5.9,0.827
2023-11-10,4.7,0.41
2023-11-11,4.8,0.007
2023-11-12,4.2,3.687
2023-11-13,8.9,16.877
2023-11-14,9,8.78
2023-11-15,8.1,3.921
2023-11-16,6,0.276
2023-11-17,6,0.437
2023-11-18,9.7,10.384
2023-11-19,10.3,5.477
2023-11-20,8.7,1.551
2023-11-21,6.7,0.371
2023-11-22,8.9,0.492
2023-11-23,10.1,0.688
2023-11-24,3.9,1.094
2023-11-25,0.9,0
2023-11-26,2,0.029
2023-11-27,3.6,16.822
2023-11-28,2.6,0.193
2023-11-29,-0.7,0.028
2023-11-30,-0.7,0.171
2023-12-01,-1.5,0.06
2023-12-02,-1,0.007
2023-12-03,-0.3,0.476
2023-12-04,2.1,6.001
2023-12-05,3,8.995
2023-12-06,0.2,0.181
2023-12-07,3.5,16.447
